Horizoltal	Vertical	H_Elipse	V_Elipse
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01955014	0.002230712	-0.2186333	0.02494649
-0.01955014	0.002230712	-0.2186333	0.02494649
-0.01955014	0.002230712	-0.2186333	0.02494649
-0.01955014	0.002230712	-0.2186333	0.02494649
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01952383	0.002249522	-0.2183667	0.02516003
-0.01947122	0.002211901	-0.2177384	0.02473474
-0.01947122	0.002211901	-0.2177384	0.02473474
-0.01941861	0.00217428	-0.2171107	0.02430964
-0.01941861	0.00217428	-0.2171107	0.02430964
-0.01947122	0.00217428	-0.2176916	0.02430885
-0.01947122	0.00217428	-0.2176916	0.02430885
-0.01955014	0.002155469	-0.2185401	0.02409476
-0.01955014	0.002155469	-0.2185401	0.02409476
-0.01960275	0.002117847	-0.2190758	0.02366858
-0.01960275	0.002117847	-0.2190758	0.02366858
-0.01965536	0.002117847	-0.219657	0.02366785
-0.01965536	0.002117847	-0.219657	0.02366785
-0.01962906	0.002099036	-0.2193441	0.0234556
-0.01962906	0.002099036	-0.2193441	0.0234556
-0.01960275	0.002080224	-0.2190313	0.02324338
-0.01960275	0.002080224	-0.2190313	0.02324338
-0.01955014	0.002042601	-0.2184062	0.02281913
-0.01955014	0.002042601	-0.2184062	0.02281913
-0.01949753	0.002004978	-0.2177816	0.02239501
-0.01949753	0.002004978	-0.2177816	0.02239501
-0.01947122	0.001986166	-0.2174696	0.022183
-0.01947122	0.001986166	-0.2174696	0.022183
-0.01949753	0.001967354	-0.2177393	0.02197051
-0.01949753	0.001967354	-0.2177393	0.02197051
-0.01949753	0.001967354	-0.2177393	0.02197051
-0.01949753	0.001967354	-0.2177393	0.02197051
-0.01955014	0.00192973	-0.2182794	0.02154567
-0.01955014	0.00192973	-0.2182794	0.02154567
-0.01881357	0.001327685	-0.2095596	0.01478874
-0.01881357	0.001327685	-0.2095596	0.01478874
-0.01810328	0.000669074	-0.201285	0.007439237
-0.01810328	0.000669074	-0.201285	0.007439237
-0.01818221	0.0005373363	-0.2021127	0.005973011
-0.01818221	0.0005373363	-0.2021127	0.005973011
-0.01836636	0.0004055933	-0.2041204	0.004507681
-0.01836636	0.0004055933	-0.2041204	0.004507681
-0.0185505	0.0002738452	-0.2061392	0.003043067
-0.0185505	0.0002738452	-0.2061392	0.003043067
-0.01860312	0.0002362019	-0.206718	0.002624669
-0.01860312	0.0002362019	-0.206718	0.002624669
-0.01860312	0.0002362019	-0.206718	0.002624669
-0.01860312	0.0002362019	-0.206718	0.002624669
-0.01836636	0.0001044471	-0.2040739	0.001160563
-0.01836636	0.0001044471	-0.2040739	0.001160563
-0.01820851	-8.489796E-06	-0.2023169	-9.433213E-05
-0.01820851	-8.489796E-06	-0.2023169	-9.433213E-05
-0.01789283	-0.000234375	-0.1988262	-0.002604405
-0.01789283	-0.000234375	-0.1988262	-0.002604405
-0.01770867	-0.0003661485	-0.1968051	-0.004069169
-0.01770867	-0.0003661485	-0.1968051	-0.004069169
-0.0174456	-0.0005544053	-0.1939378	-0.006163183
-0.0174456	-0.0005544053	-0.1939378	-0.006163183
-0.01736668	-0.0005732315	-0.1930682	-0.006372714
-0.01736668	-0.0005732315	-0.1930682	-0.006372714
-0.01728775	-0.000629711	-0.1922135	-0.007001406
-0.01728775	-0.000629711	-0.1922135	-0.007001406
-0.01723514	-0.0006673645	-0.191645	-0.007420736
-0.01723514	-0.0006673645	-0.191645	-0.007420736
-0.01723514	-0.0006673645	-0.191645	-0.007420736
-0.01723514	-0.0006673645	-0.191645	-0.007420736
-0.01723514	-0.0006673645	-0.191645	-0.007420736
-0.01723514	-0.0006673645	-0.191645	-0.007420736
-0.01726144	-0.0006861914	-0.1919453	-0.007630367
-0.01726144	-0.0006861914	-0.1919453	-0.007630367
-0.01718252	-0.0007803275	-0.1911137	-0.008679249
-0.01718252	-0.0007803275	-0.1911137	-0.008679249
-0.0135518	-0.005377424	-0.1619968	-0.06428117
-0.0135518	-0.005377424	-0.1619968	-0.06428117
-0.01978689	-0.01619857	-0.2841306	-0.232604
-0.01978689	-0.01619857	-0.2841306	-0.232604
-0.01144687	-0.03180571	-0.1351738	-0.3755875
-0.01144687	-0.03180571	-0.1351738	-0.3755875
-0.02131256	-0.0559902	-0.2533819	-0.6656593
-0.02131256	-0.0559902	-0.2533819	-0.6656593
-0.0246792	-0.05836783	-0.2977177	-0.7041208
-0.0246792	-0.05836783	-0.2977177	-0.7041208
-0.0246792	-0.05836783	-0.2977177	-0.7041208
-0.0246792	-0.05836783	-0.2977177	-0.7041208
-0.0246529	-0.05834865	-0.2973672	-0.7038108
-0.0246529	-0.05834865	-0.2973672	-0.7038108
-0.0246266	-0.0582911	-0.2970463	-0.703108
-0.0246266	-0.0582911	-0.2970463	-0.703108
-0.0246003	-0.05823356	-0.2967255	-0.7024052
-0.0246003	-0.05823356	-0.2967255	-0.7024052
-0.0246266	-0.05817601	-0.2971354	-0.70193
-0.0246266	-0.05817601	-0.2971354	-0.70193
-0.0246792	-0.05813765	-0.2978968	-0.7017659
-0.0246792	-0.05813765	-0.2978968	-0.7017659
-0.0247055	-0.05811847	-0.2982778	-0.7016838
-0.0247055	-0.05811847	-0.2982778	-0.7016838
-0.0247581	-0.05808011	-0.2990407	-0.7015206
-0.0247581	-0.05808011	-0.2990407	-0.7015206
-0.0248896	-0.05798421	-0.3009524	-0.7011155
-0.0248896	-0.05798421	-0.3009524	-0.7011155
-0.02502109	-0.05788831	-0.3028704	-0.700715
-0.02502109	-0.05788831	-0.3028704	-0.700715
-0.02507369	-0.05784995	-0.3036394	-0.7005559
-0.02507369	-0.05784995	-0.3036394	-0.7005559
-0.02515259	-0.05779242	-0.3047948	-0.7003188
-0.02515259	-0.05779242	-0.3047948	-0.7003188
-0.02525778	-0.0577157	-0.3063392	-0.7000052
-0.02525778	-0.0577157	-0.3063392	-0.7000052
-0.02528408	-0.05769653	-0.3067259	-0.6999271
-0.02528408	-0.05769653	-0.3067259	-0.6999271
-0.02533668	-0.05761982	-0.3075333	-0.6993817
-0.02533668	-0.05761982	-0.3075333	-0.6993817
-0.02581006	-0.05719795	-0.3146233	-0.6972402
-0.02581006	-0.05719795	-0.3146233	-0.6972402
-0.0357742	-0.04974863	-0.489593	-0.6808419
-0.0357742	-0.04974863	-0.489593	-0.6808419
-0.0460989	-0.04216555	-0.6941592	-0.6349307
-0.0460989	-0.04216555	-0.6941592	-0.6349307
-0.06404387	-0.02910727	-0.7816453	-0.3552498
-0.06404387	-0.02910727	-0.7816453	-0.3552498
-0.08521419	-0.01370252	-0.9589872	-0.1542061
-0.08521419	-0.01370252	-0.9589872	-0.1542061
-0.09080225	-0.009660014	-1.014607	-0.1079391
-0.09080225	-0.009660014	-1.014607	-0.1079391
-0.09422019	-0.007187879	-1.049933	-0.08009733
-0.09422019	-0.007187879	-1.049933	-0.08009733
-0.09416803	-0.006961517	-1.049167	-0.07756133
-0.09416803	-0.006961517	-1.049167	-0.07756133
-0.09411586	-0.006282527	-1.048059	-0.06996109
-0.09411586	-0.006282527	-1.048059	-0.06996109
-0.1024558	-2.731298E-05	-1.138398	-0.0003033426
-0.1024558	-2.731298E-05	-1.111111	-0.0003034892
-0.1212704	0.01357327	-1.32623	0.1517989
-0.1212704	0.01357327	-1.1213	0.1521969
-0.1449757	0.03102184	-1.392518	0.355758
-0.1449757	0.03102184	-1.163347	0.3608919
-0.1522083	0.03693106	-1.246215	0.4345794
-0.1522083	0.03693106	-1.184462	0.4374343
-0.1596815	0.04327716	-1.271398	0.5194419
-0.1596815	0.04327716	-1.210699	0.5239561
-0.1596045	0.05387995	-1.261549	0.6801252
-0.1596045	0.05387995	-1.261549	0.6801252
-0.1503566	0.08395645	-1.390617	1.257849
-0.1503566	0.08395645	-1.390617	1.257849
-0.1479118	0.09886038	-1.372832	1.492475
-0.1479118	0.09886038	-1.372832	1.492475
-0.1419339	0.1039213	-1.247053	1.501141
-0.1419339	0.1039213	-1.267249	1.46789
-0.1369531	0.1249693	-1.110417	1.623905
-0.1369531	0.1249693	-1.188259	1.440399
-0.1419597	0.1345223	-1.226261	1.540691
-0.1419597	0.1345223	-1.267665	1.468035
-0.1455167	0.1370717	-1.313357	1.50623
-0.1455167	0.1370717	-1.325765	1.488107
-0.1480405	0.138892	-1.358512	1.515221
-0.1480405	0.138892	-1.367848	1.502561
-0.1477831	0.1395108	-1.36035	1.505344
-0.1477831	0.1395108	-1.363522	1.501078
-0.1448984	0.1498373	-1.270685	1.557597
-0.1448984	0.1498373	-1.315563	1.484593
-0.1469334	0.1756649	-1.250908	1.673886
-0.1469334	0.1756649	-1.349299	1.496199
-0.1573721	0.195063	-1.440159	1.67259
-0.1573721	0.195063	-1.529736	1.557437
-0.1669319	0.2018237	-1.651244	1.635581
-0.1669319	0.2018237	-1.571349	1.571349
-0.1804115	0.2119088	-1.703416	1.650551
-0.1804115	0.2119088	-1.571348	1.571348
-0.1882191	0.2340364	-1.597467	1.727903
-0.1882191	0.2340364	-1.571348	1.571348
-0.1774301	0.2703878	-1.290958	1.699144
-0.1774301	0.2703878	-1.400348	1.513671
-0.1644487	0.2798	-1.185126	1.491351
-0.1644487	0.2798	-1.208796	1.447567
-0.1434551	0.295303	-0.9083182	1.425162
-0.1434551	0.295303	-0.9303461	1.349549
-0.1149385	0.3157081	-0.5978465	1.341963
-0.1149385	0.3157081	-0.6085002	1.238062
-0.1085974	0.3202449	-0.5428022	1.239464
-0.1085974	0.3202449	-0.5447262	1.217288
-0.1087014	0.3203521	-0.5457053	1.218133
-0.1087014	0.3203521	-0.5457518	1.217615
-0.1088314	0.3204414	-0.5469958	1.218456
-0.1088314	0.3204414	-0.5470347	1.218026
-0.1092735	0.320745	-0.5512695	1.220889
-0.1092735	0.320745	-0.5514045	1.219426
-0.1093775	0.3208165	-0.5524024	1.2201
-0.1093775	0.3208165	-0.5524343	1.219757
-0.1093775	0.3208165	-0.5524343	1.219757
-0.1093775	0.3208165	-0.5524343	1.219757
-0.1095335	0.3208165	-0.5539802	1.220253
-0.1095335	0.3208165	-0.5539802	1.220253
-0.1096375	0.3208879	-0.5549794	1.220929
-0.1096375	0.3208879	-0.5550117	1.220585
-0.1096375	0.3209236	-0.5549955	1.220757
-0.1096375	0.3209236	-0.5550117	1.220585
-0.1096375	0.3209236	-0.5550117	1.220585
-0.1096375	0.3209236	-0.5550117	1.220585
-0.1096375	0.3209236	-0.5550117	1.220585
-0.1096375	0.3209236	-0.5550117	1.220585
-0.1096375	0.3209236	-0.5550117	1.220585
-0.1096375	0.3209236	-0.5550117	1.220585
-0.1096375	0.3209236	-0.5550117	1.220585
-0.1096375	0.3209236	-0.5550117	1.220585
-0.1096115	0.3209415	-0.5547457	1.220588
-0.1096115	0.3209415	-0.5547538	1.220502
-0.1095855	0.3209236	-0.554504	1.220333
-0.1095855	0.3209236	-0.554504	1.220333
-0.1095855	0.3209236	-0.554504	1.220333
-0.1095855	0.3209236	-0.554504	1.220333
-0.1095855	0.3209236	-0.554504	1.220333
-0.1095855	0.3209236	-0.554504	1.220333
-0.1095595	0.3209058	-0.5542542	1.220165
-0.1095595	0.3209058	-0.5542542	1.220165
-0.1095335	0.3208879	-0.5540044	1.219996
-0.1095335	0.3208879	-0.5540044	1.219996
-0.1095335	0.3208879	-0.5540044	1.219996
-0.1095335	0.3208879	-0.5540044	1.219996
-0.1095595	0.32087	-0.5542703	1.219993
-0.1095595	0.32087	-0.5542703	1.219993
-0.1097935	0.3207808	-0.5566334	1.220312
-0.1097935	0.3207808	-0.5566334	1.220312
-0.1097935	0.3207808	-0.5566334	1.220312
-0.1097935	0.3207808	-0.5566334	1.220312
-0.1101055	0.3207093	-0.5597689	1.220969
-0.1101055	0.3207093	-0.5597689	1.220969
-0.1103915	0.3207629	-0.5625931	1.222146
-0.1103915	0.3207629	-0.5625931	1.222146
-0.1103655	0.3207808	-0.5623255	1.222148
-0.1103655	0.3207808	-0.5623255	1.222148
-0.1103655	0.3208165	-0.5623089	1.222319
-0.1103655	0.3208165	-0.5623089	1.222319
-0.1099235	0.3207272	-0.5579499	1.22047
-0.1099235	0.3207272	-0.5579499	1.22047
-0.1094035	0.3204414	-0.5529162	1.217435
-0.1094035	0.3204414	-0.5529162	1.217435
-0.104955	0.3232454	-0.5084007	1.217303
-0.104955	0.3232454	-0.5092311	1.206089
-0.08186923	0.3388354	-0.2996783	1.227976
-0.08186923	0.3388354	-0.3009621	1.14862
-0.06831458	0.3479427	-0.1890366	1.172181
-0.06831458	0.3479427	-0.1892395	1.126675
-0.06721438	0.3486927	-0.1804026	1.128975
