Horizoltal	Vertical	H_Elipse	V_Elipse
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0.001036355	0	0
0	0.003645302	0	0
0	0.007248326	0	0
0	0.0175726	0	0
0	0.0175726	0	0
0	0.02472282	0	0
0	0.03291162	0	0
0	0.04208545	0	0
0	0.0522192	0	0
0	0.0522192	0	0
0	0.06036655	0	0
0	0.06750756	0	0
0	0.07319251	0	0
0	0.07788326	0	0
0	0.0815801	0	0
0	0.08627753	0	0
0	0.09196246	0	0
0	0.09864456	0	0
0	0.09864456	0	0
0	0.1073114	0	0
0	0.1169839	0	0
0	0.1276543	0	0
0	0.13723	0	0
0	0.1458116	0	0
0	0.1458116	0	0
0	0.1524052	0	0
0	0.1580047	0	0
0	0.1626103	0	0
0	0.1662219	0	0
0	0.1708459	0	0
0	0.1708459	0	0
0	0.1753403	0	0
0	0.1787947	0	0
0	0.181301	0	0
0	0.1828019	0	0
0	0.1833202	0	0
0	0.1833202	0	0
0	0.1833202	0	0
0	0.1833202	0	0
0	0.1833202	0	0
0	0.1833202	0	0
0	0.1844153	0	0
0	0.1865045	0	0
0	0.1865045	0	0
0	0.1906163	0	0
0	0.1956876	0	0
0	0.2017528	0	0
0	0.2088527	0	0
0	0.2169529	0	0
0	0.2169529	0	0
0	0.2272974	0	0
