Horizoltal	Vertical
-0.1091039	0.05348563
-0.1686689	0.05348563
-0.2427559	0.05348563
-0.3267839	0.05348563
-0.4209187	0.05348563
-0.5248306	0.05348563
-0.638678	0.05348563
-0.638678	0.05348563
-0.7724062	0.05348563
-0.9160743	0.05348563
-1.069685	0.05348563
-1.237579	0.05348563
-1.415414	0.05348563
-1.603501	0.05348563
-1.801218	0.05348563
-2.001218	0.05348563
-2.001218	0.05348563
-2.201218	0.05348563
-2.401218	0.05348563
-2.601218	0.05348563
-2.801218	0.05348563
-3.001218	0.05348563
-3.201218	0.05348563
-3.401218	0.05348563
-3.401218	0.05348563
-3.601218	0.05348563
-3.801219	0.05348563
-4.001218	0.05348563
-4.201218	0.05348563
-4.401218	0.05348563
-4.601218	0.05348563
-4.801218	0.05348563
-4.801218	0.05348563
-5.001217	0.05348563
-5.201217	0.05348563
-5.401217	0.05348563
-5.601217	0.05348563
-5.801217	0.05348563
-5.801217	0.05348563
-6.001216	0.05348563
-6.201216	0.05348563
-6.401216	0.05348563
-6.601216	0.05348563
-6.801216	0.05348563
-6.801216	0.05348563
-7.001215	0.05348563
-7.201215	0.05348563
-7.401215	0.05348563
-7.45	0.05348563
-7.45	0.05348563
-7.44006	0.05348563
-7.430084	0.05348563
-7.430084	0.05348563
-7.410049	0.05348563
-7.399882	0.05348563
-7.39036	0.05348563
-7.380347	0.05348563
-7.25	0.05348563
-7.25	0.05348563
-7.229927	0.05348563
-7.19984	0.05348563
-7.160046	0.05348563
-7.110005	0.05348563
-7.050293	0.05348563
-7.050293	0.05348563
-6.970772	0.05348563
-6.880852	0.05348563
-6.779158	0.05348563
-6.667365	0.05348563
-6.54579	0.05348563
-6.414273	0.05348563
-6.414273	0.05348563
-6.262742	0.05348563
-6.101407	0.05348563
-5.930133	0.05348563
-5.748713	0.05348563
-5.581346	0.05348563
-5.423919	0.05348563
-5.276433	0.05348563
-5.276433	0.05348563
-5.148826	0.05348563
-5.03116	0.05348563
-4.923433	0.05348563
-4.825647	0.05348563
-4.737801	0.05348563
-4.663827	0.05348563
-4.600106	0.05348563
-4.600106	0.05348563
-4.556337	0.05348563
-4.522175	0.05348563
-4.497904	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
-4.483572	0.05348563
