Horizoltal	Vertical	H_Elipse	V_Elipse
0	0	0	0
0	0	0	0
-0.1163407	-0.3255782	-1.372725	-3.841558
-0.1163407	-0.3255782	-1.571349	-1.571349
0	0	0.08477237	0.5948954
0	0	0.08477237	0.5948954
-0.1163147	-0.3255998	-1.570703	-1.57124
-0.1163147	-0.3255998	-1.570783	-1.57116
-0.1163147	-0.3255998	-1.570783	-1.57116
-0.1163147	-0.3255998	-1.570783	-1.57116
-0.1163147	-0.3255998	-1.570783	-1.57116
-0.1163147	-0.3255998	-1.570783	-1.57116
-0.1163147	-0.3255998	-1.570783	-1.57116
-0.1163147	-0.3255998	-1.570783	-1.57116
-0.1163407	-0.3256215	-1.571268	-1.571429
-0.1163407	-0.3256215	-1.571349	-1.571349
-0.1163147	-0.3256432	-1.570703	-1.57124
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1162887	-0.3256215	-1.570297	-1.570891
-0.1162887	-0.3256215	-1.570297	-1.570891
-0.1162887	-0.3256215	-1.570297	-1.570891
-0.1162887	-0.3256215	-1.570297	-1.570891
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1163147	-0.3256432	-1.570783	-1.57116
-0.1162368	-0.3257083	-1.568847	-1.570835
-0.1162368	-0.3257083	-1.569087	-1.570594
-0.1162109	-0.3257734	-1.568282	-1.570646
-0.1162109	-0.3257734	-1.568522	-1.570406
-0.116081	-0.3259252	-1.56514	-1.570025
-0.116081	-0.3259252	-1.565697	-1.569464
-0.1156397	-0.3264242	-1.554309	-1.568113
-0.1156397	-0.3264242	-1.556115	-1.566265
-0.1153021	-0.3267932	-1.547484	-1.56519
-0.1153021	-0.3267932	-1.548809	-1.563823
