Horizoltal	Vertical	H_Elipse	V_Elipse
0	0	0	0
0	0	0	0
-0.01368336	-0.09260575	-0.153688	-1.040125
-0.01368336	-0.09260575	-0.153688	-1.040125
0	0	0	0
0	0	0	0
-0.01539352	-0.1142332	-0.1725851	-1.28073
-0.01539352	-0.1142332	-0.1730537	-1.124198
-0.02349568	-0.1207434	-0.2673903	-1.207207
-0.02349568	-0.1207434	-0.2681722	-1.141368
-0.03629984	-0.1312305	-0.4249156	-1.281796
-0.03629984	-0.1312305	-0.4290825	-1.182051
-0.03821822	-0.1421985	-0.4497747	-1.288503
-0.03821822	-0.1421985	-0.454603	-1.189493
-0.04418176	-0.1468179	-0.5335163	-1.253612
-0.04418176	-0.1468179	-0.5366873	-1.214726
-0.04384031	-0.1465203	-0.5320771	-1.210744
-0.04384031	-0.1465203	-0.5320771	-1.210744
-0.04373525	-0.1464012	-0.5306792	-1.209293
-0.04373525	-0.1464012	-0.5306792	-1.209293
-0.04370899	-0.1463814	-0.530323	-1.209012
-0.04370899	-0.1463814	-0.530323	-1.209012
-0.04344633	-0.1460639	-0.5268441	-1.205223
-0.04344633	-0.1460639	-0.5268441	-1.205223
-0.04307859	-0.1457862	-0.5218655	-1.201299
-0.04307859	-0.1457862	-0.5218655	-1.201299
-0.04281592	-0.1455878	-0.518315	-1.198499
-0.04281592	-0.1455878	-0.518315	-1.198499
-0.04271085	-0.1455085	-0.5168959	-1.19738
-0.04271085	-0.1455085	-0.5168959	-1.19738
-0.04255324	-0.1457465	-0.5145343	-1.198656
-0.04255324	-0.1457465	-0.5145343	-1.198656
-0.04289472	-0.1463615	-0.5189043	-1.205242
-0.04289472	-0.1463615	-0.5189043	-1.205242
-0.04326246	-0.1467981	-0.5237634	-1.21047
-0.04326246	-0.1467981	-0.5237634	-1.21047
-0.04328873	-0.1468179	-0.5241183	-1.21075
-0.04328873	-0.1468179	-0.5241183	-1.21075
-0.04286846	-0.1472943	-0.517929	-1.212845
-0.04286846	-0.1472943	-0.5182378	-1.208902
-0.03926928	-0.1500152	-0.4674261	-1.216503
-0.03926928	-0.1500152	-0.468762	-1.193712
-0.02959662	-0.1573395	-0.3414623	-1.221318
-0.02959662	-0.1573395	-0.342952	-1.158754
-0.0209443	-0.1638672	-0.2372926	-1.190448
-0.0209443	-0.1638672	-0.2377639	-1.13522
-0.0209443	-0.1638672	-0.2377639	-1.13522
